,comment_lengths,comments,mags,scores,times
77,2123,"Dear PM Lee, we love you, appreciate and honor you. Be strong and don't be discouraged by your siblings. Your feelings must be very troubled & hurt. Pls take care of your health. Don't be bothered by them for they know not what they are doing.   No family has no problems. We should not wash dirty linens in public. This should be the rule. Keep all family affairs behind closed doors. Especially for the family of our nation's father, Mr Lee Kuan Yew (LKY).  Don't talk about what our PM LHL should or should not do. Just think if Mr LKY would want his family affairs be displayed to the world - ???  Would he settle it this way???  Would he also disregard and disrespect our nation's prime minister?   My feel terrible. Mr LHL is not only Ms Lee's brother. He is also our nation's prime minister. Pls give him some face. Pls respect a nation's PM. Pls consider his age and health. Pls consider Singapore's wellness and security at such uncertain time like the present and spare Mr LHL this heartache so that he can spend precious time & energy to take care of Singapore and Singaporeans. Pls don't say what he has not done or should have done better. Let each of us do something good to support the nation and one thing good we can do at anytime is not to unnecessarily stress our PM - instead let's support & encourage him AND don't uncover and display his family affairs to the world. His face is Singaporeans' face. His wellness affects us. He is our Prime Minister.   And if LHL's son or any of Mr LKY's grand sons would arise to serve the nation, it would be our nation's blessings. There is nothing wrong to nurture and encourage Mr LKY's grand sons to serve the nation. It would be Mr LKY's desire and he would be very glad. This agenda is not a bad one. And a noble agenda for any set of parents to desire their children serve the nation!!!   Enjoy the remaining days of your holiday, Mr LHL. Strengthen your heart, don't be too disturbed by your siblings. As long as your conscience is clear, that's enough. Be at peace.  We wish you good health and we are for you and behind you always. With luv & respect ?????",13.1,0,2017-06-14T15:49:15+0000
78,124,PM I hold you in high esteem. Hope this can be resolve speedily within the family cuz we need you to continue to lead Spore.,0.5,0.2,2017-06-14T01:53:54+0000
79,297,"I am not taking sides but  I have only below to ask the siblings of PM Lee : do you love the country your father put in so much to build? If so, what are you hoping to achieve in this public slamming? To have investors and the world loose confidence in Singapore? And how do you benefit with that?",1.4,0,2017-06-14T03:22:09+0000
80,151,Siblings no matter what still runs same blood as their father.I would be disappointed too.Especially without consideration the brother is a politician.,0.3,0.3,2017-06-14T01:55:29+0000
81,214,"Sir PM Lee, I know how is the feeling..after so many years I finally understand that different people will have different mind, even is family might not understand. I'm always supporting you and believe you. ??????",0.7,0.3,2017-06-14T02:10:55+0000
82,710,"Since this is a family matters, we all have no right to comment on who is right and who is wrong....or who is more right or wrong. Also, we really do not know what's behind those hurling of words at the moment. I guess what is the right thing to do now is to pray for the family, that they will resolve these matters in the best way possible and we also pray that grace, compassion and forgiveness will prevail in all these. More importantly, we cannot allow this to affect our nation's progress. I believe the last thing our founding Father Mr Lee Kuan Yew would want to see is to have his own family issues affecting the progress and development of the nation. To him it's always the nation first... ????????",2.2,0.2,2017-06-14T14:28:00+0000
83,400,"You can't avoid to have a big mouth in the family.Irregardless of how much you wanna contain the issue some members are just to excited to spread false news in favour of the innocent!Your siblings are not alone PM,neither you're alone of having these kinds of ungrateful people in your family.They should have considered that your father is a GREAT FATHER to all and for the coming generations of SG!",0.2,-0.2,2017-06-14T02:15:26+0000
84,375,I would urge one and all to read the initial statement as one can understand the reasons why this may extend beyond just private family matters . Whether it's true or not - remains to be seen and we shouldn't take a stand but one thing's for sure is that seeing a lot of Singaporeans engaged in some discourse is great for it reduces political apathy which has been an issue.,0.3,0,2017-06-14T06:17:11+0000
85,372,"If the contention is over the demolishment of 38 Oxley which was the expressed wish and will of your father, why not simply do it? Wouldn't that also resolve these allegations?  The whole issue rests on something which was clearly spelled out in the will and as a country ruled by law, shouldn't that will be executed in accordance to the wishes of the one who has passed?",1.1,-0.3,2017-06-14T02:20:51+0000
86,379,"I want to say something...but that something just never came...so when that something something comes...then i'll say...at the meantime...just this something...Stay strong Sir, like the Malay's saying,"" Mulut tempayan bole ditutup, mulut manusia tak mungkin"". (Translation),1 can cover the water tub with a lid, but 1 can never cover a man's mouth'...this is 02 mouth somemore...",A,N,2017-06-14T02:03:25+0000
87,280,The comments made by PM siblings may lead to other view as Singapore political instability. This is family affair don't put your family affair on TOP of Singapore . this will affect 5million people living in Singapore vs your family . I will like to pledge Dr Lee for your mercy .,1.2,0.2,2017-06-14T02:21:23+0000
88,505,"Luke 23:24 forgive them for they know not what they did. Stay strong and firm, like what you have always been. To me you are the best PM in the world. You have done much and we know you will continue to do much more for Singapore. If indeed your son does become you purposely groom him to be one. But because he has the same love and passion for the country as you did. It's all in the genes.  Take care. Our fullest support for you and of course, your Mrs, Mdm Ho Ching.  Thank you for being who you are.",4.4,0.3,2017-06-14T05:45:24+0000
89,470,"Be a Malaysian, I see it is not a normal house but it is a house of Singapore 1st PM or founder.   Between the family matter or nation matter. Below methods may apply.   If it is a family matter, let the elder children to decide. If it is a nation matter, let the Singapore people to decide.   Your sibling may see it as a nation issue. Being elder please forgive them & see it as positive energy.   I hope my suggestion can help you to solve your family & nation issue.",2.3,0.1,2017-06-14T03:17:36+0000
90,136,You have done the right thing and that is to issue a statement even though you are overseas!!I will pray for you Mr Lee and your family.,0.1,0.1,2017-06-14T01:59:25+0000
91,199,This is such a hard time for you and your family. All of us are living safely in Singapore only due to your leadership and your party commitment to Singapore. We always trust you and your leadership.,1.2,0.4,2017-06-14T02:46:02+0000
92,152,"I have differences with my siblings  but we keep it within the family. Theres no need to publicize, who knows the family more than the family themselves",0.8,0.4,2017-06-14T02:10:11+0000
93,643,Thanks PM for clarifying your position but is also worth taking note that during your father still alive time there are already alot of rumours concerning the relationship among you three siblings. I do agree with you that all these are internal and should be resolve within the family but I am sure you also not blind to see numerous occassions in newspaper that once the father left this world the siblings started to compete among themselves for $$$$ or fame. Maybe is our chinese culture that we always cannot be down and we like to fight for our rights and cause. Cheers and hopefully you three can be a role model to all Singaporeans!!!!,1.7,0.3,2017-06-14T01:49:20+0000
94,387,"Dear PM Lee, i feel terribly sad about what's happening between your siblings and yourself. As a Singaporean, I am in no position to take side. I just wish to assure you of my support and confidence in your leadership. Do look after your own health and  do your best to resolve the issues.  Will uphold your family (the entire Lee Family) in prayer during this tough period. Stay strong.",2.7,0.1,2017-06-14T15:27:48+0000
